,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
"$100,000 or more     ",49,127,37,"7,401",44,"5,442",41,72,49,"1,284",*         ,--        ,41
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93546,"3,977","7,484","2,186","201,353","3,416","123,638","1,592","4,737","3,193","25,597",930,*         ,"1,441"
"Under $10,000        ",692,883,144,"1,850",532,"3,767",158,114,262,142,105,--        ,59
"$10,000 under $25,000","1,084","1,635",447,"18,902",990,"16,307",236,235,873,"1,034",171,--        ,144
"$25,000 under $50,000","1,048","2,086",719,"37,248",948,"30,872",348,459,917,"2,933",214,*         ,313
"$50,000 under $75,000",468,"1,098",344,"28,717",404,"21,175",273,550,458,"2,888",155,--        ,305
"$75,000 under $100,000",236,598,166,"20,374",204,"13,779",181,443,235,"2,317",91,--        ,187
"$100,000 or more     ",449,"1,184",366,"94,262",338,"37,738",396,"2,936",448,"16,283",194,--        ,433
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93549,101,235,83,"4,569",82,"2,893",40,28,85,478,18,--        ,23
"Under $10,000        ",*         ,*         ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$10,000 under $25,000",35,66,20,561,29,467,*         ,*              ,26,22,*         ,--        ,--        
"$25,000 under $50,000",36,83,33,"1,274",31,972,17,4,29,95,18,--        ,*         
"$50,000 under $75,000",20,51,14,"1,192",22,"1,454",23,24,20,98,*         ,--        ,23
"$75,000 under $100,000",10,35,16,"1,542",--        ,--             ,--        ,--             ,10,263,*         ,--        ,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93550,"23,960","62,107","29,009","789,419","21,416","693,837","7,042","2,973","14,652","48,884","3,735",*         ,"8,977"
"Under $10,000        ","4,563","7,783","2,738","22,258","3,570","19,476",511,282,"1,448",771,845,--        ,173
"$10,000 under $25,000","7,553","18,106","8,790","127,645","6,536","105,410","1,148",565,"4,000","4,295","1,289",--        ,"1,122"
"$25,000 under $50,000","6,710","19,547","9,797","241,014","6,349","218,837","2,149",742,"4,377","9,792",825,*         ,"3,306"
"$50,000 under $75,000","3,125","10,047","4,789","191,370","3,030","175,433","1,745",572,"2,838","12,102",425,*         ,"2,495"
"$75,000 under $100,000","1,273","4,271","1,929","108,871","1,238","98,956",887,288,"1,253","9,050",196,--        ,"1,176"
"$100,000 or more     ",736,"2,353",966,"98,261",693,"75,725",602,524,736,"12,874",155,*         ,705
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93551,"17,928","44,349","17,262","1,089,098","15,358","883,296","9,996","9,496","14,093","116,384","3,539",95,"10,753"
"Under $10,000        ","2,941","4,003",759,"7,938","2,178","12,161",728,447,"1,069",485,483,15,197
"$10,000 under $25,000","3,193","5,833","1,936","53,725","2,458","39,055",950,966,"2,208","2,457",575,*         ,697
"$25,000 under $50,000","3,200","7,577","3,066","118,250","2,686","92,096","1,556","1,372","2,549","6,909",659,11,"1,854"
"$50,000 under $75,000","2,948","8,487","3,647","183,707","2,678","154,906","2,030","1,593","2,688","12,435",602,13,"2,531"
"$75,000 under $100,000","2,375","7,698","3,363","206,130","2,255","181,899","1,840","1,186","2,319","16,636",486,20,"2,246"
"$100,000 or more     ","3,271","10,751","4,491","519,348","3,103","403,179","2,892","3,932","3,260","77,462",734,36,"3,228"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93552,"10,503","28,137","13,097","401,901","9,490","356,738","3,947","1,458","6,794","25,355","1,673",--        ,"5,213"
"Under $10,000        ","1,713","2,744",844,"7,919","1,331","7,269",254,103,564,273,313,--        ,111
"$10,000 under $25,000","2,767","6,388","2,938","46,675","2,387","38,365",538,199,"1,521","1,639",531,--        ,549
"$25,000 under $50,000","2,955","8,716","4,396","108,480","2,788","97,818","1,138",377,"1,878","4,129",416,--        ,"1,793"
"$50,000 under $75,000","1,834","6,121","3,031","111,814","1,792","103,194","1,119",280,"1,613","6,275",216,--        ,"1,583"
"$75,000 under $100,000",772,"2,658","1,243","66,146",751,"60,349",521,312,757,"5,243",126,--        ,723
"$100,000 or more     ",462,"1,510",645,"60,867",441,"49,743",377,187,461,"7,796",71,--        ,454
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93553,797,"1,739",585,"33,893",620,"25,183",367,298,612,"3,281",156,*         ,346
"Under $10,000        ",157,249,65,465,101,583,36,15,56,34,38,*         ,*         
"$10,000 under $25,000",192,378,136,"3,329",140,"2,178",51,62,138,159,40,--        ,44
"$25,000 under $50,000",192,406,136,"6,860",147,"4,949",92,86,166,453,26,*         ,95
"$50,000 under $75,000",120,324,118,"7,415",111,"6,021",71,28,117,622,26,*         ,83
"$75,000 under $100,000",61,186,76,"5,365",55,"4,387",47,29,60,511,10,--        ,55
"$100,000 or more     ",75,196,54,"10,459",66,"7,065",70,78,75,"1,502",16,--        ,69
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93554,30,51,8,754,*         ,*              ,13,5,19,31,*         ,--        ,*         
"Under $10,000        ",17,23,2,162,*         ,*              ,*         ,*              ,*         ,*              ,*         ,--        ,--        
"$10,000 under $25,000",*         ,*         ,*         ,*              ,--        ,--             ,13,5,*         ,*              ,*         ,--        ,*         
"$25,000 under $50,000",13,28,6,592,*         ,*              ,*         ,*              ,19,31,*         ,--        ,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--        ,--        
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--        ,--        
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93555,"12,262","26,994","8,892","598,805","10,068","459,982","6,405","6,891","9,501","63,770","1,635",29,"4,506"
"Under $10,000        ","1,972","2,917",759,"7,219","1,544","8,095",434,312,593,209,230,*         ,58
"$10,000 under $25,000","2,757","5,211","1,779","47,104","2,138","34,243",789,827,"1,856","1,802",315,*         ,299
"$25,000 under $50,000","2,778","6,182","2,121","102,065","2,210","75,738","1,387","1,171","2,349","6,735",313,17,763
"$50,000 under $75,000","1,996","4,975","1,643","123,056","1,650","91,265","1,370","1,461","1,953","11,290",303,*         ,"1,049"
"$75,000 under $100,000","1,352","3,737","1,327","116,768","1,226","95,421","1,126","1,177","1,344","12,858",214,12,"1,023"
"$100,000 or more     ","1,407","3,972","1,263","202,593","1,300","155,220","1,299","1,943","1,406","30,876",260,*         ,"1,314"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93556,788,"1,501",386,"40,086",582,"27,489",463,740,655,"4,693",114,*         ,327
"Under $10,000        ",96,137,26,160,63,367,28,14,27,15,19,--        ,*         
"$10,000 under $25,000",173,292,78,"3,007",112,"1,743",76,81,127,130,25,--        ,39
"$25,000 under $50,000",196,352,87,"7,296",143,"4,643",112,138,179,570,20,*         ,64
"$50,000 under $75,000",140,282,75,"8,563",109,"6,035",93,127,139,921,16,--        ,70
"$75,000 under $100,000",92,212,62,"8,025",80,"6,172",67,108,92,983,12,--        ,73
"$100,000 or more     ",91,226,58,"13,035",75,"8,529",87,272,91,"2,074",22,--        ,81
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93558,10,18,4,213,*         ,*              ,*         ,*              ,*         ,*              ,*         ,--        ,--        
"Under $10,000        ",10,18,4,213,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$10,000 under $25,000",*         ,*         ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$25,000 under $50,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,--        
"$50,000 under $75,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$75,000 under $100,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93560,"6,384","14,922","5,679","273,374","5,663","236,720","2,614","1,290","4,747","23,551",800,16,"2,755"
"Under $10,000        ",985,"1,553",435,"3,496",727,"3,888",157,64,308,143,170,--        ,45
"$10,000 under $25,000","1,588","3,135","1,172","27,531","1,327","21,729",347,249,"1,037","1,025",186,*         ,239
"$25,000 under $50,000","1,561","3,838","1,595","56,628","1,428","49,111",592,315,"1,222","3,077",160,*         ,663
"$50,000 under $75,000","1,166","3,288","1,364","71,212","1,125","64,411",682,208,"1,101","5,518",145,16,828
"$75,000 under $100,000",629,"1,793",664,"54,240",613,"48,257",450,189,624,"5,376",78,*         ,552
"$100,000 or more     ",455,"1,315",449,"60,267",443,"49,324",386,265,455,"8,412",61,*         ,428
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93561,"9,605","22,258","7,382","487,156","7,394","345,038","5,478","8,555","7,343","49,775","1,800",81,"4,778"
"Under $10,000        ","1,651","2,341",454,"3,141","1,114","5,857",517,509,525,244,288,10,112
"$10,000 under $25,000","2,034","3,803","1,107","34,383","1,346","20,414",802,"1,012","1,324","1,354",336,11,443
"$25,000 under $50,000","1,977","4,667","1,577","72,954","1,488","49,168","1,080","1,243","1,654","4,344",358,14,903
"$50,000 under $75,000","1,662","4,577","1,703","103,085","1,434","79,499","1,148","1,394","1,577","8,009",329,18,"1,233"
"$75,000 under $100,000","1,168","3,561","1,364","100,342","1,026","77,842",935,"1,227","1,152","9,092",247,13,"1,022"
"$100,000 or more     ","1,113","3,309","1,177","173,251",986,"112,258",996,"3,170","1,111","26,732",242,15,"1,065"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93562,498,"1,184",422,"19,485",437,"16,938",160,76,352,"1,698",38,--        ,94
"Under $10,000        ",109,187,57,429,89,453,17,2,26,8,*         ,--        ,*         
"$10,000 under $25,000",102,225,84,"1,627",75,"1,056",27,16,63,42,23,--        ,*         
"$25,000 under $50,000",107,280,113,"4,133",97,"3,535",23,11,86,245,*         ,--        ,20
"$50,000 under $75,000",118,330,127,"7,136",117,"6,808",50,20,115,624,15,--        ,34
"$75,000 under $100,000",40,102,25,"3,415",39,"2,978",27,15,40,384,*         ,--        ,23
"$100,000 or more     ",22,60,16,"2,745",20,"2,108",16,12,22,395,*         ,--        ,17
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93563,53,91,21,"2,333",31,959,20,6,42,200,*         ,--        ,12
"Under $10,000        ",*         ,*         ,*         ,*              ,*         ,*              ,--        ,--             ,*         ,*              ,*         ,--        ,--        
"$10,000 under $25,000",22,39,13,316,13,185,*         ,*              ,13,11,*         ,--        ,12
"$25,000 under $50,000",17,23,4,589,18,774,20,6,17,57,*         ,--        ,*         
"$50,000 under $75,000",14,29,4,"1,428",*         ,*              ,*         ,*              ,12,132,*         ,--        ,*         
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93581,953,"2,075",641,"46,283",697,"32,140",525,675,750,"4,938",239,20,430
"Under $10,000        ",168,238,41,630,92,437,49,64,63,42,47,10,*         
"$10,000 under $25,000",219,446,140,"3,722",139,"2,053",87,94,150,195,53,*         ,52
"$25,000 under $50,000",191,419,145,"6,805",150,"5,010",87,125,168,456,44,*         ,67
"$50,000 under $75,000",176,429,139,"10,884",151,"8,022",130,103,172,959,42,10,127
"$75,000 under $100,000",91,231,72,"7,838",77,"5,805",77,135,90,762,23,--        ,80
"$100,000 or more     ",108,312,104,"16,404",88,"10,813",95,154,107,"2,524",30,*         ,104
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93584,282,581,201,"9,609",204,"6,902",112,108,197,892,53,*         ,96
"Under $10,000        ",64,109,37,284,41,235,18,5,14,8,16,--        ,*         
"$10,000 under $25,000",78,147,46,"1,298",52,782,21,17,52,50,19,--        ,16
"$25,000 under $50,000",67,143,54,"2,382",49,"1,751",25,8,60,170,*         ,--        ,23
"$50,000 under $75,000",46,114,42,"2,784",42,"2,396",37,7,44,254,18,--        ,33
"$75,000 under $100,000",14,35,12,"1,222",10,771,*         ,*              ,14,172,*         ,--        ,12
"$100,000 or more     ",13,33,10,"1,639",10,967,11,71,13,238,*         ,*         ,12
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93586,83,152,35,"4,543",46,"2,036",42,22,65,666,21,--        ,42
"Under $10,000        ",15,21,5,37,*         ,*              ,14,9,--        ,--             ,*         ,--        ,--        
"$10,000 under $25,000",20,25,2,382,23,401,*         ,*              ,18,35,*         ,--        ,15
"$25,000 under $50,000",17,33,10,562,*         ,*              ,15,6,17,54,21,--        ,*         
"$50,000 under $75,000",13,27,6,823,12,726,*         ,*              ,12,72,*         ,--        ,11
"$75,000 under $100,000",18,46,12,"2,739",11,909,13,7,18,505,*         ,--        ,16
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93590,854,"1,889",797,"31,381",654,"24,494",311,160,621,"2,935",221,--        ,330
"Under $10,000        ",171,296,108,692,96,583,31,7,65,56,56,--        ,10
"$10,000 under $25,000",246,555,275,"3,850",167,"2,292",51,12,169,226,98,--        ,38
"$25,000 under $50,000",211,469,193,"7,659",184,"6,580",78,32,166,428,33,--        ,104
"$50,000 under $75,000",125,302,120,"7,628",115,"6,669",72,60,122,645,21,--        ,88
"$75,000 under $100,000",57,129,40,"4,913",53,"4,131",45,32,55,546,13,--        ,48
"$100,000 or more     ",44,138,61,"6,639",39,"4,239",34,17,44,"1,034",*         ,--        ,42
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93591,"2,134","5,715","2,641","69,168","1,852","59,808",638,169,"1,332","4,403",364,*         ,851
"Under $10,000        ",418,709,237,"1,979",315,"1,621",60,18,130,67,85,--        ,30
"$10,000 under $25,000",656,"1,692",814,"11,073",530,"8,436",132,60,375,431,157,--        ,128
"$25,000 under $50,000",606,"1,830",919,"22,076",569,"19,808",185,44,405,896,62,*         ,325
"$50,000 under $75,000",288,962,458,"17,399",279,"15,824",151,24,256,"1,090",41,--        ,215
"$75,000 under $100,000",110,336,135,"9,328",108,"8,624",66,9,110,872,19,--        ,100
"$100,000 or more     ",56,186,78,"7,313",51,"5,495",44,14,56,"1,047",*         ,--        ,53
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93592,91,183,46,"3,844",66,"2,382",35,18,67,312,*         ,--        ,21
"Under $10,000        ",19,27,2,75,15,161,*         ,*              ,*         ,*              ,--        ,--        ,--        
"$10,000 under $25,000",14,21,3,233,*         ,*              ,20,11,13,9,--        ,--        ,--        
"$25,000 under $50,000",26,56,16,997,25,815,*         ,*              ,23,74,*         ,--        ,*         
"$50,000 under $75,000",32,79,25,"2,539",26,"1,406",15,7,31,229,*         ,--        ,21
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93596,147,278,71,"6,567",113,"5,134",77,68,118,717,10,--        ,49
"Under $10,000        ",24,33,8,89,13,55,17,6,*         ,*              ,--        ,--        ,*         
"$10,000 under $25,000",28,52,14,462,21,261,*         ,*              ,23,15,10,--        ,*         
"$25,000 under $50,000",33,58,13,"1,211",26,805,19,5,33,96,*         ,--        ,17
"$50,000 under $75,000",32,58,10,"1,926",26,"1,565",19,50,32,220,*         ,--        ,12
"$75,000 under $100,000",30,77,26,"2,879",27,"2,448",22,7,30,386,*         ,--        ,20
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93601,850,"1,798",485,"35,628",616,"22,151",479,708,629,"3,423",180,11,339
"Under $10,000        ",171,246,36,281,104,604,65,63,51,25,30,11,11
"$10,000 under $25,000",215,391,99,"3,716",156,"2,477",91,161,142,150,36,--        ,44
"$25,000 under $50,000",192,431,127,"7,089",144,"4,366",112,103,168,489,47,*         ,80
"$50,000 under $75,000",135,357,115,"8,504",106,"5,511",86,142,131,722,34,*         ,84
"$75,000 under $100,000",68,196,64,"5,926",56,"4,051",61,68,68,556,17,*         ,56
"$100,000 or more     ",69,177,44,"10,112",50,"5,142",64,171,69,"1,481",16,*         ,64
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93602,"1,538","3,315",968,"72,224","1,215","49,489",808,873,"1,190","7,843",317,25,603
"Under $10,000        ",290,387,58,884,207,"1,040",79,69,96,44,43,10,22
"$10,000 under $25,000",333,610,175,"5,754",240,"3,657",122,102,236,234,55,*         ,63
"$25,000 under $50,000",365,878,305,"13,487",295,"9,485",182,235,314,846,80,*         ,130
"$50,000 under $75,000",262,661,196,"16,225",228,"11,961",171,133,257,"1,488",59,*         ,147
"$75,000 under $100,000",148,407,128,"12,742",129,"9,801",120,112,147,"1,344",43,15,111
"$100,000 or more     ",140,372,106,"23,132",116,"13,545",134,222,140,"3,887",37,*         ,130
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93603,86,155,32,"2,143",54,"1,183",38,19,60,140,11,*         ,10
"Under $10,000        ",28,41,7,85,14,69,10,2,12,7,11,*         ,--        
"$10,000 under $25,000",28,54,17,486,22,372,11,3,21,23,*         ,*         ,--        
"$25,000 under $50,000",19,36,6,713,18,742,17,14,27,110,*         ,--        ,10
"$50,000 under $75,000",11,24,2,859,*         ,*              ,*         ,*              ,*         ,*              ,*         ,--        ,*         
"$75,000 under $100,000",*         ,*         ,*         ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--        ,--        
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93604,406,759,147,"21,815",236,"9,058",271,879,306,"2,914",100,--        ,206
"Under $10,000        ",74,103,12,-315,34,207,41,79,25,10,18,--        ,18
"$10,000 under $25,000",96,159,31,"1,723",57,870,50,131,60,64,15,--        ,24
"$25,000 under $50,000",108,223,51,"3,827",65,"1,917",66,175,95,256,28,--        ,59
"$50,000 under $75,000",50,108,25,"3,084",34,"1,353",41,75,48,278,22,--        ,37
"$75,000 under $100,000",34,70,12,"2,934",20,"1,308",31,140,34,337,*         ,--        ,28
"$100,000 or more     ",44,96,16,"10,562",26,"3,403",42,279,44,"1,969",17,--        ,40
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93605,102,227,71,"6,285",93,"5,310",44,9,80,728,*         ,--        ,30
"Under $10,000        ",28,32,1,221,17,69,*         ,*              ,*         ,*              ,--        ,--        ,--        
"$10,000 under $25,000",*         ,*         ,*         ,*              ,15,375,*         ,*              ,17,30,*         ,--        ,--        
"$25,000 under $50,000",10,15,1,368,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,10
"$50,000 under $75,000",21,53,20,"1,258",19,"1,008",19,4,20,111,*         ,--        ,*         
"$75,000 under $100,000",27,87,40,"2,393",26,"2,157",13,3,27,278,*         ,--        ,10
"$100,000 or more     ",16,40,9,"2,045",16,"1,701",12,2,16,309,*         ,--        ,10
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93606,557,"1,510",763,"11,725",533,"10,332",65,9,223,409,26,--        ,29
"Under $10,000        ",111,207,84,653,102,583,*         ,*              ,19,7,14,--        ,--        
"$10,000 under $25,000",282,774,415,"4,626",276,"4,064",21,2,91,69,*         ,--        ,*         
"$25,000 under $50,000",133,426,221,"4,458",126,"3,981",25,4,83,176,12,--        ,17
"$50,000 under $75,000",31,103,43,"1,988",29,"1,704",19,3,30,157,*         ,--        ,12
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,*         
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93607,90,264,132,"1,966",87,"1,755",*         ,*              ,34,37,*         ,--        ,--        
"Under $10,000        ",17,28,8,80,16,84,--        ,--             ,*         ,*              ,--        ,--        ,--        
"$10,000 under $25,000",45,132,68,824,45,800,*         ,*              ,18,12,--        ,--        ,--        
"$25,000 under $50,000",28,104,56,"1,062",26,871,*         ,*              ,16,25,*         ,--        ,--        
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,--        
"$75,000 under $100,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93608,459,"1,381",705,"10,376",443,"9,148",65,7,178,277,20,*         ,*         
"Under $10,000        ",80,140,51,507,72,426,*         ,*              ,26,8,*         ,--        ,--        
"$10,000 under $25,000",225,681,356,"4,099",220,"3,641",21,2,69,57,20,--        ,*         
"$25,000 under $50,000",133,489,265,"4,482",131,"4,079",33,3,65,141,*         ,*         ,*         
"$50,000 under $75,000",21,71,33,"1,288",20,"1,002",11,2,18,71,--        ,--        ,--        
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,--        
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93609,"2,070","5,472","2,445","68,548","1,826","50,011",625,"1,448","1,165","9,077",200,137,362
"Under $10,000        ",452,839,297,"-5,583",356,"2,314",91,124,134,155,42,46,*         
"$10,000 under $25,000",739,"1,866",908,"12,826",675,"10,935",124,134,346,340,48,12,53
"$25,000 under $50,000",546,"1,692",799,"19,182",505,"16,526",184,109,358,877,63,31,112
"$50,000 under $75,000",191,638,276,"11,792",174,"9,817",114,107,185,904,35,35,90
"$75,000 under $100,000",84,277,116,"7,242",75,"5,637",60,59,84,684,*         ,*         ,58
"$100,000 or more     ",58,160,49,"23,089",41,"4,782",52,915,58,"6,117",12,13,49
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93610,"4,764","11,898","4,842","159,089","4,051","126,475","1,617","4,407","2,949","17,546",684,242,"1,169"
"Under $10,000        ",995,"1,655",465,"-15,917",745,"4,146",211,278,251,218,144,57,41
"$10,000 under $25,000","1,450","3,447","1,502","24,849","1,234","19,927",289,403,775,790,176,31,115
"$25,000 under $50,000","1,278","3,723","1,701","45,251","1,166","38,373",416,427,915,"2,446",190,47,313
"$50,000 under $75,000",541,"1,608",647,"32,832",482,"27,192",302,565,512,"2,484",80,39,289
"$75,000 under $100,000",284,841,313,"24,573",246,"18,151",214,459,281,"2,490",50,29,222
"$100,000 or more     ",216,624,214,"47,501",178,"18,686",185,"2,275",215,"9,118",44,39,189
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93611,"18,905","45,021","16,221","1,155,953","16,059","875,930","11,420","13,710","15,288","139,096","3,466",122,"10,353"
"Under $10,000        ","3,103","3,949",561,"9,029","2,338","13,427",863,639,"1,159",580,345,15,168
"$10,000 under $25,000","3,297","5,541","1,572","55,033","2,504","39,438","1,202","1,367","2,406","2,594",438,14,572
"$25,000 under $50,000","3,606","8,174","3,023","133,554","2,987","101,592","2,004","1,890","3,029","8,792",711,15,"1,747"
"$50,000 under $75,000","3,313","9,486","3,818","206,857","3,001","169,893","2,478","2,189","3,139","15,932",714,12,"2,589"
"$75,000 under $100,000","2,535","8,010","3,262","219,281","2,370","185,362","2,117","1,547","2,509","19,877",528,19,"2,312"
"$100,000 or more     ","3,051","9,861","3,985","532,199","2,859","366,218","2,756","6,078","3,046","91,321",730,47,"2,965"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93612,"13,467","27,749","9,792","472,842","11,835","375,800","4,593","4,152","9,560","41,545","1,588",24,"3,376"
"Under $10,000        ","2,547","3,762",973,"11,985","2,028","11,388",436,222,781,299,332,*         ,76
"$10,000 under $25,000","4,176","7,730","2,812","71,723","3,596","58,501",883,843,"2,740","2,640",370,*         ,351
"$25,000 under $50,000","3,910","8,492","3,199","139,296","3,594","120,627","1,374",975,"3,259","8,892",419,14,"1,018"
"$50,000 under $75,000","1,644","4,393","1,626","100,180","1,528","84,438",976,596,"1,591","8,473",239,*         ,911
"$75,000 under $100,000",689,"1,961",702,"59,142",649,"50,497",500,326,688,"6,120",127,10,551
"$100,000 or more     ",501,"1,411",480,"90,516",440,"50,349",424,"1,190",501,"15,121",101,*         ,469
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93613,955,"1,769",479,"47,998",774,"31,601",430,718,751,"6,189",198,*         ,336
"Under $10,000        ",155,213,33,615,101,596,36,39,47,21,31,--        ,11
"$10,000 under $25,000",262,435,127,"4,580",217,"3,641",68,57,194,232,46,--        ,43
"$25,000 under $50,000",259,478,146,"9,417",223,"7,652",112,76,238,793,51,*         ,81
"$50,000 under $75,000",116,251,72,"7,082",101,"5,439",73,54,110,738,28,*         ,61
"$75,000 under $100,000",60,146,46,"5,166",50,"3,850",45,103,60,603,14,--        ,50
"$100,000 or more     ",103,246,55,"21,138",82,"10,423",96,389,102,"3,802",28,*         ,90
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93614,"4,571","9,951","2,741","227,540","3,352","148,547","2,670","3,681","3,575","23,832",968,53,"2,196"
"Under $10,000        ",773,"1,074",140,"2,481",468,"2,612",266,227,253,129,144,*         ,70
"$10,000 under $25,000",998,"1,793",436,"17,153",651,"10,042",435,536,693,737,193,25,232
"$25,000 under $50,000",982,"2,178",623,"36,150",692,"21,131",562,772,855,"2,276",184,*         ,439
"$50,000 under $75,000",834,"2,183",686,"51,597",688,"36,320",588,833,795,"4,242",193,13,587
"$75,000 under $100,000",502,"1,375",428,"43,164",436,"31,300",398,375,499,"4,338",122,*         ,417
"$100,000 or more     ",482,"1,348",428,"76,995",417,"47,142",421,938,480,"12,110",132,15,451
